key,value
WRAP00873_5_0,0.0911
WRAP00873_5_0.03125,0.1035
WRAP00873_5_0.031667,0.104
WRAP00873_5_0.033333,0.1049
WRAP00873_5_0.0625,0.0865
WRAP00873_5_0.114286,0.0902
WRAP00873_5_0.128571,0.0905
WRAP00873_5_0.13,0.0908
WRAP00873_5_0.135714,0.0908
WRAP00873_5_0.142857,0.0919
WRAP00873_5_0.5,0.0912
WRAP00873_5_0.6875,0.0913
WRAP00873_5_0.75,0.0915
WRAP00873_5_0.8125,0.0913
WRAP00873_5_1.75,0.0917
WRAP00873_5_1.875,0.0918
WRAP00873_5_0.008125,0.093
WRAP00873_5_0.055,0.0881
WRAP00873_5_0.055556,0.0881
WRAP00873_5_0.928571,0.0919
WRAP00873_5_2.25,0.0919
WRAP00873_5_3.5,0.0921
WRAP00873_5_3.571429,0.0921
WRAP00873_5_0.583333,0.0908
WRAP00873_5_0.777778,0.0917
WRAP00873_5_0.833333,0.0913
WRAP00873_5_0.044444,0.0946
WRAP00873_5_0.05,0.0904
WRAP00873_5_0.714286,0.0912
WRAP00873_5_0.01375,0.0949
WRAP00873_5_1.833333,0.0919
WRAP00873_5_2.333333,0.0919
WRAP00873_5_0.008889,0.0931
WRAP00873_5_0.0375,0.1015
WRAP00873_5_0.04,0.0981
WRAP00873_5_0.0425,0.0958
WRAP00873_5_0.642857,0.0915
WRAP00873_5_0.2,0.0899
WRAP00873_5_0.45,0.0911
WRAP00873_5_2.75,0.0921
WRAP00873_5_0.061111,0.0868
WRAP00873_5_0.0875,0.088
WRAP00873_5_0.11875,0.0903
WRAP00873_5_0.1625,0.092
WRAP00873_5_650,0.0928
WRAP00873_5_0.027778,0.0998
WRAP00873_5_200,0.0925
WRAP00873_5_0.158333,0.0925
WRAP00873_5_0.175,0.0914
WRAP00873_5_0.388889,0.0907
WRAP00873_5_0.05625,0.0877
WRAP00873_5_0.058333,0.087
WRAP00873_5_0.006875,0.0928
WRAP00873_5_0.425,0.0906
WRAP00873_5_1.8,0.0919
WRAP00873_5_0.019,0.0981
WRAP00873_5_0.02,0.0983
WRAP00873_5_0.018,0.0976
WRAP00873_5_0.015,0.0957
WRAP00873_5_0.04375,0.0951
WRAP00873_5_0.111111,0.09
WRAP00873_5_1.9,0.0918
WRAP00873_5_0.416667,0.0907
WRAP00873_5_0.722222,0.0912
WRAP00873_5_0.916667,0.0915
WRAP00873_5_0.009,0.0931
WRAP00873_5_0.72222,0.0912
WRAP00873_5_2.166667,0.0916
