,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세
360개월,1,1,1,1,2,2,3,5,4,4,5,5,5,4,4,4,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
354개월,1,1,1,1,2,2,3,5,4,4,5,5,5,4,4,4,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
348개월,1,1,1,1,2,2,3,5,4,4,5,5,5,4,4,4,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
342개월,1,1,1,1,2,2,3,5,4,4,5,5,5,4,4,4,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
336개월,1,1,1,1,2,2,3,5,4,4,5,5,5,4,4,4,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
330개월,1,1,1,1,2,2,3,5,4,4,5,5,5,4,4,4,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
324개월,1,1,1,1,2,2,3,4,3,4,4,3,4,4,4,4,2,2,2,2,1,1,1,1,1,1,2,2,2,2,3,2,2,3,2,2,2,2,2
318개월,1,1,1,1,1,1,2,3,3,4,4,3,5,5,4,4,2,2,2,2,1,1,1,1,1,1,2,2,2,2,3,2,2,3,2,2,2,2,2
312개월,1,1,1,1,1,1,2,3,3,4,4,3,5,5,4,4,2,2,2,2,1,1,1,1,1,1,2,2,2,2,3,2,2,3,2,2,2,2,2
306개월,1,1,1,1,1,1,2,3,3,4,4,2,4,4,4,4,2,2,2,2,1,1,1,1,1,1,2,2,2,2,3,2,2,3,2,2,2,2,2
300개월,1,1,1,1,1,1,2,3,3,4,4,2,4,4,4,4,2,2,2,2,1,1,1,1,1,1,2,2,2,2,3,2,2,3,2,2,2,2,2
294개월,1,1,1,1,1,1,2,3,3,4,4,2,4,4,4,4,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
288개월,1,1,1,1,1,1,2,3,3,4,4,2,4,4,4,4,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
282개월,1,1,1,1,1,1,2,3,3,4,4,2,4,4,4,4,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
